A001,A002,A003,A004,A005,A006,A008,A009,A170,A173,A165,B008,C001,C001_01,C002,C002_01,D081,D026_03,D026_05,C038,C039,C041,D001_B,G007_18_B,G007_33_B,G007_34_B,G007_35_B,G007_36_B,D054,D059,D060,D061,D078,E001,E002,E003,E004,Y002,E015,E018,E023,E025,E026,E027,E028,E033,E035,E036,E037,E039,E069_01,E069_02,E069_04,E069_05,E069_06,E069_07,E069_08,E069_18A,E069_18,E069_11,E069_12,E069_13,E069_14,E069_17,E069_20,E111_01,E114,E115,E116,E117,E181_EVS5,E224,E225,E226,E227,E228,E229,E233,E233A,E233B,E235,E236,E263,E264,E265_01,E265_02,E265_03,E265_04,E265_05,E265_06,E265_07,E265_08,F025,F028,F066_EVS5,F034,F063,F114A,F115,F116,F117,F118,F119,F120,F121,F122,F123,F132,E290,F144_02,G006,G052,G062,G063,G255,G256,G257,H009,H010,H011,X001,X002,X003,G027A,X007,x026_01,X011,X013,X025A_01,X025R,W002A_01,W002R,V004AM_01,V004RM,V004AF_01,V004RF,X028,W003,X052,X035_EVS5,V097EF,W005_EVS5,X047E_EVS5
1,1,1,2,1,2,2,2,9,8,1,1,2,4,2,4,2,4,4,4,2,3,1,1,1,2,1,1,3,4,3,3,3,3,4,4,1,2,1,1,2,1,1,1,1,7,4,7,9,4,2,1,3,2,2,2,2,2,2,3,3,3,2,1,2,9,3,3,4,1,20804,0,0,0,0,0,0,0,0,0,10,9,1,1,0,0,0,0,0,0,0,0,2,4,5,1,4,1,2,1,1,10,7,6,6,8,8,9,2,2,1,3,1,1,3,2,1,3,4,4,1,1961,56,1,1,1,2,2,3,2,6,3,1,1,3,2,1,1,2,32,5,23,4
1,2,1,3,2,3,2,2,9,6,2,2,3,3,1,1,2,3,3,1,2,3,1,2,1,2,3,2,2,3,3,3,3,0,0,0,0,0,2,2,3,2,3,3,2,4,2,2,3,2,3,2,2,3,2,3,3,3,3,3,3,3,2,2,2,8,2,2,3,3,20801,0,0,0,0,0,0,0,0,0,8,8,1,1,0,0,0,0,0,0,0,0,2,8,7,2,2,1,1,1,1,8,9,8,9,9,1,1,1,1,2,3,3,3,2,2,2,2,3,3,1,1968,49,1,3,1,0,3,2,1,3,2,2,1,3,2,1,1,2,83,4,83,6
1,2,1,2,2,3,2,4,8,6,1,1,2,5,1,2,3,4,3,4,2,2,1,2,1,2,2,2,3,3,4,3,2,3,1,1,4,2,1,3,2,2,2,2,3,6,4,3,4,2,3,2,3,2,2,2,2,3,3,2,3,3,2,3,2,9,3,3,4,1,20805,0,0,0,0,0,0,0,0,0,10,8,1,1,0,0,0,0,0,0,0,0,2,8,7,2,2,1,1,1,1,8,2,7,8,9,3,5,1,2,2,3,2,2,1,2,1,2,3,3,1,1958,59,1,1,1,2,2,6,3,6,3,1,1,5,3,1,3,2,31,6,24,4
1,1,2,3,2,3,1,1,10,8,1,1,2,5,3,3,2,5,4,2,2,2,1,2,2,2,2,2,3,4,4,4,4,1,3,4,1,2,2,1,2,1,0,1,0,8,7,4,3,3,0,2,2,2,2,3,3,0,0,3,3,0,2,2,0,8,4,2,3,1,20807,0,0,0,0,0,0,0,0,0,10,9,1,1,0,0,0,0,0,0,0,0,2,7,6,1,2,2,1,1,1,10,3,10,9,7,3,10,1,1,2,4,2,2,1,2,1,1,4,2,2,1986,31,1,1,1,1,3,7,3,3,2,0,0,6,3,1,1,2,26,7,21,10
1,1,1,2,2,4,3,2,7,10,2,1,2,5,1,1,1,3,3,1,1,4,1,2,1,2,2,2,2,4,4,3,4,1,2,4,2,3,1,3,2,1,2,1,2,7,3,7,7,7,2,2,4,3,3,4,4,3,3,4,3,3,2,3,3,1,4,2,4,2,20804,0,0,0,0,0,0,0,0,0,10,4,2,1,0,0,0,0,0,0,0,0,0,7,7,3,1,1,1,1,1,10,7,7,10,10,7,7,1,7,2,2,3,3,2,2,1,1,4,4,2,1965,52,1,6,1,1,2,3,2,0,0,1,1,5,3,1,0,1,53,6,0,8
1,1,1,3,4,3,1,1,10,9,1,3,2,5,2,5,4,5,5,3,1,1,1,1,1,2,2,2,3,3,4,4,4,1,3,1,4,2,3,1,2,2,2,2,3,10,10,1,1,1,3,2,3,4,1,2,2,3,3,2,2,2,3,2,2,10,4,3,4,1,20807,0,0,0,0,0,0,0,0,0,10,10,1,1,0,0,0,0,0,0,0,0,2,7,7,1,1,1,2,1,1,2,2,9,10,6,2,3,1,1,1,3,3,3,3,3,1,2,3,4,2,1947,70,1,1,1,3,2,5,3,5,3,1,1,1,1,4,4,2,33,10,12,6
1,3,2,2,2,2,3,5,2,2,2,1,2,4,2,5,4,4,2,3,2,3,1,2,2,3,2,2,2,1,3,2,2,1,3,1,4,2,3,1,2,1,2,1,2,3,5,5,6,4,3,1,3,4,3,2,3,1,1,4,3,2,2,2,3,7,2,2,4,1,20802,0,0,0,0,0,0,0,0,0,10,9,1,1,0,0,0,0,0,0,0,0,0,8,1,1,10,3,1,1,1,6,1,8,9,2,1,1,1,1,1,4,1,1,2,2,1,1,3,3,2,1969,48,2,1,1,2,4,3,2,5,3,0,1,0,1,8,7,1,53,8,93,3
1,2,2,3,2,4,2,2,9,8,1,1,2,5,2,4,1,5,4,1,1,4,1,2,1,2,2,2,2,3,3,4,3,3,1,1,4,2,1,1,2,1,2,2,2,3,5,5,6,3,3,2,3,2,1,3,3,3,3,3,3,2,2,2,2,10,4,2,4,2,20801,0,0,0,0,0,0,0,0,0,10,7,1,1,0,0,0,0,0,0,0,0,2,8,7,2,3,1,1,1,1,10,3,5,7,5,1,10,1,1,2,3,2,3,2,2,1,2,3,4,2,1987,30,1,6,1,0,2,7,3,3,2,2,1,2,1,1,6,1,23,4,31,6
2,1,1,2,0,2,2,2,9,8,1,3,2,4,3,3,0,4,4,4,0,4,2,2,1,0,0,0,0,4,4,0,4,0,0,0,0,0,3,1,2,0,0,2,2,8,6,9,9,7,2,2,3,2,1,3,3,3,3,4,4,0,4,2,2,8,4,4,4,1,20801,0,0,0,0,0,0,0,0,0,10,8,1,1,0,0,0,0,0,0,0,0,2,4,2,1,7,1,1,1,1,10,8,8,9,1,8,9,1,1,1,2,3,3,2,2,1,2,3,4,2,1937,80,1,6,1,1,1,1,1,0,0,1,1,1,1,4,0,1,32,0,0,4
1,1,1,2,2,3,2,1,9,7,1,3,2,5,2,5,1,4,3,2,3,3,1,2,1,2,2,2,2,4,4,4,3,3,1,4,1,2,3,3,3,2,2,1,2,3,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,8,3,3,3,1,20804,0,0,0,0,0,0,0,0,0,9,8,1,1,0,0,0,0,0,0,0,0,2,2,7,2,2,3,2,2,1,10,1,9,10,9,1,7,1,2,2,4,1,1,2,1,2,2,4,4,2,1998,19,1,6,1,0,1,3,2,0,0,6,3,3,2,2,0,1,26,1,0,1
1,1,3,3,1,3,3,2,6,6,2,2,2,5,2,5,1,4,3,2,2,2,1,2,1,3,3,4,2,4,4,4,4,3,4,4,2,3,1,1,2,3,3,2,3,6,6,8,4,9,1,3,3,3,2,2,2,3,3,2,2,2,2,2,3,9,2,2,4,1,20801,0,0,0,0,0,0,0,0,0,10,9,1,1,0,0,0,0,0,0,0,0,2,8,7,3,1,6,1,1,1,10,1,5,10,10,1,6,1,1,1,2,1,1,1,1,1,4,4,4,1,1984,33,1,6,1,0,0,0,1,0,0,0,0,0,0,8,0,1,93,1,0,1
2,2,2,4,2,4,2,3,7,5,1,3,2,5,2,5,4,3,3,1,2,2,1,2,1,2,2,2,2,4,4,3,4,1,2,1,4,2,2,2,4,3,3,3,3,5,7,4,8,4,2,2,3,2,2,3,3,3,3,3,3,4,3,2,3,7,3,3,4,2,20811,0,0,0,0,0,0,0,0,0,9,6,3,3,0,0,0,0,0,0,0,0,0,8,7,1,1,1,1,1,1,4,2,1,3,3,1,2,3,7,0,5,3,3,3,3,3,2,4,3,1,1981,36,2,1,1,1,3,7,3,7,3,3,2,6,3,1,7,2,25,5,21,6
0,0,0,0,0,0,0,3,10,10,1,2,2,4,1,2,3,3,4,1,1,2,1,1,1,2,2,2,3,4,4,2,3,0,0,0,0,0,3,3,0,1,2,2,1,6,5,5,5,5,3,2,3,3,2,3,3,3,3,3,3,2,3,3,3,7,3,0,0,1,20805,0,0,0,0,0,0,0,0,0,10,10,1,1,0,0,0,0,0,0,0,0,2,4,4,1,5,1,1,1,1,9,3,10,7,7,2,5,1,2,1,2,2,3,1,1,1,1,1,2,2,1951,66,1,1,1,2,2,3,2,3,2,2,1,2,1,4,1,1,24,10,24,1
1,1,2,2,1,3,1,1,9,9,1,1,2,5,2,4,3,5,3,2,2,4,1,2,1,2,2,2,3,4,4,4,3,1,4,1,2,2,1,1,2,1,1,1,2,4,8,6,4,2,2,2,2,2,1,3,2,2,2,3,3,2,2,2,2,4,4,3,4,1,20801,0,0,0,0,0,0,0,0,0,10,7,1,1,0,0,0,0,0,0,0,0,2,8,4,1,8,2,1,1,1,10,8,9,10,5,2,9,1,1,2,3,3,3,1,2,1,2,3,3,2,1974,43,1,1,1,2,4,6,3,3,2,3,2,3,2,1,1,1,23,1,93,6
2,1,1,3,2,3,3,2,4,5,2,2,2,5,2,5,3,3,2,1,1,1,1,2,2,4,2,2,2,4,4,2,4,1,3,1,4,2,3,3,2,2,1,1,2,3,10,2,3,1,4,3,4,3,3,2,3,1,1,2,2,2,4,3,1,7,3,3,4,1,20808,0,0,0,0,0,0,0,0,0,10,7,2,1,0,0,0,0,0,0,0,0,5,2,7,2,7,2,1,2,1,10,1,3,3,1,1,5,1,5,3,3,2,2,1,1,3,2,2,1,2,1998,19,1,6,2,0,5,7,3,0,0,5,3,5,3,6,0,2,42,8,0,1
1,2,2,3,2,3,2,3,7,7,1,1,2,5,1,2,2,5,4,2,2,4,1,2,2,2,2,2,3,4,4,3,4,1,3,2,1,2,3,3,3,3,3,3,2,7,1,5,9,5,2,2,3,3,2,3,3,3,3,3,3,3,2,2,3,2,3,3,3,1,20801,0,0,0,0,0,0,0,0,0,10,9,1,1,0,0,0,0,0,0,0,0,2,6,6,1,5,1,1,1,1,9,5,5,10,9,9,9,1,5,2,3,2,2,2,1,1,2,3,2,2,1962,55,1,6,1,2,1,3,2,0,0,3,2,3,2,1,0,1,33,7,0,4
1,2,2,2,1,3,2,3,8,8,1,1,2,5,3,3,3,3,3,2,2,2,1,1,2,2,2,2,3,4,4,4,4,3,1,4,1,2,3,1,2,2,2,1,1,4,5,5,4,5,2,2,2,2,2,3,2,2,2,3,3,3,3,2,2,4,3,3,3,2,20801,0,0,0,0,0,0,0,0,0,10,9,1,1,0,0,0,0,0,0,0,0,2,6,7,1,2,1,1,1,1,9,7,10,10,7,3,9,1,1,1,4,3,3,2,1,1,2,2,4,2,1967,50,1,6,1,1,2,6,3,0,0,2,1,3,2,1,0,1,26,8,0,6
1,2,2,2,1,3,3,3,7,7,1,1,2,4,2,4,3,3,4,2,4,2,2,2,1,2,2,2,2,3,3,3,3,3,4,4,1,2,1,1,2,1,1,1,2,1,2,4,8,3,2,3,2,3,2,3,3,3,3,4,3,3,2,2,3,8,4,3,3,1,20804,0,0,0,0,0,0,0,0,0,10,8,1,1,0,0,0,0,0,0,0,0,2,7,6,1,4,1,2,1,1,10,6,10,10,8,3,8,1,8,2,3,2,3,2,2,2,2,4,4,1,1966,51,1,3,1,1,1,6,3,0,0,1,1,3,2,1,0,2,23,8,0,7
1,3,3,3,1,3,2,3,8,9,1,3,2,5,3,3,3,4,4,2,1,1,1,2,2,2,2,2,4,4,4,4,4,1,3,1,4,2,3,1,2,3,3,3,3,7,8,5,3,4,1,2,3,3,1,2,2,2,2,2,3,2,2,1,2,10,2,3,4,1,20802,0,0,0,0,0,0,0,0,0,10,10,1,1,0,0,0,0,0,0,0,0,2,8,7,1,2,1,1,1,1,10,1,10,10,2,1,7,1,1,1,3,3,3,2,2,2,1,2,2,2,1958,59,1,1,1,4,2,7,3,6,3,7,3,7,3,3,1,0,22,1,33,10
1,1,1,2,1,3,2,2,8,8,1,1,2,4,3,3,3,4,4,2,2,2,1,2,1,2,2,2,3,3,3,3,3,3,1,1,4,2,3,1,1,1,2,1,2,4,3,4,5,4,2,2,3,2,2,3,3,3,3,3,3,3,3,2,3,8,4,4,4,1,20801,0,0,0,0,0,0,0,0,0,10,8,1,1,0,0,0,0,0,0,0,0,2,4,6,1,2,1,1,1,1,9,8,9,10,7,1,9,1,1,2,2,2,3,1,2,2,1,3,3,2,1958,59,2,1,1,0,2,6,3,7,3,3,2,3,2,1,1,1,53,6,24,10
1,2,1,3,2,4,2,3,8,8,2,3,2,5,1,2,2,5,1,1,1,2,1,2,1,4,2,2,2,3,3,3,4,3,1,1,2,2,2,1,3,1,3,2,3,10,5,3,10,3,3,2,3,3,2,2,2,3,3,2,3,3,3,2,2,6,1,3,3,1,20805,0,0,0,0,0,0,0,0,0,10,8,2,1,0,0,0,0,0,0,0,0,2,8,7,2,1,1,1,1,1,7,5,10,10,10,5,10,1,1,1,3,3,3,2,2,1,1,4,2,1,1968,49,1,6,1,0,1,3,2,0,0,3,2,6,3,3,0,0,35,1,0,4
1,1,1,2,2,3,2,2,8,8,1,1,2,5,3,3,1,4,5,4,3,3,1,1,1,2,2,2,4,4,4,4,4,3,1,2,4,3,1,2,2,2,1,1,2,2,5,8,10,5,2,2,2,2,2,3,2,4,4,3,2,3,2,2,3,10,4,4,4,1,20809,0,0,0,0,0,0,0,0,0,10,10,1,1,0,0,0,0,0,0,0,0,2,7,7,1,4,1,2,1,1,10,2,10,10,9,5,6,1,1,2,4,2,3,1,1,1,3,4,4,2,1960,57,1,6,1,2,2,6,3,0,0,3,2,3,2,1,0,1,22,6,0,7
2,1,1,1,1,4,3,3,3,5,1,1,2,4,1,1,1,4,2,2,1,1,2,3,2,3,3,3,3,4,4,3,4,0,0,0,0,0,2,1,1,2,3,3,3,9,8,4,2,0,3,3,2,2,2,2,2,3,3,2,2,2,2,2,2,9,4,4,4,2,20807,0,0,0,0,0,0,0,0,0,10,9,2,1,0,0,0,0,0,0,0,0,0,4,6,2,1,1,1,1,1,10,3,10,10,10,6,6,2,1,2,2,3,3,3,3,2,2,3,3,2,1950,67,1,3,1,1,1,5,3,0,0,1,1,0,0,4,0,1,23,8,0,7
1,1,1,2,2,3,2,2,9,7,1,1,2,5,3,3,2,3,3,3,2,2,1,2,1,2,2,2,3,4,4,3,3,1,3,4,1,2,3,1,3,1,2,2,3,5,7,7,3,5,2,2,3,2,2,2,2,2,2,3,3,2,2,2,2,9,4,4,4,1,20801,0,0,0,0,0,0,0,0,0,10,9,1,1,0,0,0,0,0,0,0,0,2,4,7,1,2,1,1,1,1,8,4,9,9,8,3,3,1,2,2,2,2,2,2,2,1,2,3,4,2,1959,58,1,1,1,1,2,5,3,0,0,0,1,0,1,1,4,3,33,8,35,7
1,1,1,2,1,4,1,2,10,10,1,1,2,5,2,4,2,5,3,2,2,1,1,1,1,2,2,2,3,4,4,4,4,4,3,4,1,2,1,1,1,1,1,1,2,5,4,6,4,5,2,1,4,3,1,3,1,2,2,3,3,2,2,1,2,6,4,3,4,1,20802,0,0,0,0,0,0,0,0,0,10,9,1,1,0,0,0,0,0,0,0,0,2,4,7,2,1,1,1,1,1,10,1,10,10,8,3,10,1,1,3,3,2,2,3,3,1,4,4,4,2,1963,54,1,1,1,3,3,5,3,5,3,1,1,1,1,1,1,1,33,10,24,10
1,1,3,3,2,4,3,3,5,7,2,3,3,3,3,3,1,3,3,2,3,3,2,2,1,3,2,2,3,2,3,4,2,3,1,4,2,3,3,1,3,1,2,2,2,5,5,5,3,4,3,1,3,3,1,2,2,2,2,3,2,3,2,3,2,5,2,2,3,2,20805,0,0,0,0,0,0,0,0,0,9,6,1,1,0,0,0,0,0,0,0,0,2,7,7,1,2,1,7,1,5,10,5,5,5,5,5,5,1,1,2,3,3,4,1,1,2,2,4,4,1,1995,22,1,6,1,0,1,3,2,0,0,3,2,0,0,2,0,2,51,6,0,1
1,1,2,3,1,4,3,3,7,9,1,1,2,5,2,4,1,4,3,3,2,2,1,1,1,2,2,2,3,4,4,4,3,1,4,4,1,2,1,1,3,1,2,2,2,3,5,5,5,6,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,9,3,2,4,1,20802,0,0,0,0,0,0,0,0,0,10,10,1,1,0,0,0,0,0,0,0,0,0,8,7,3,1,1,1,1,1,10,6,10,10,10,6,10,1,1,2,3,2,3,2,2,2,1,3,2,2,1977,40,1,1,1,2,4,6,3,5,3,2,1,0,1,1,1,2,23,8,42,9
1,1,1,2,1,3,1,1,8,8,1,1,2,5,2,5,1,5,3,3,2,3,1,1,1,1,1,1,4,4,4,4,4,3,4,2,1,2,1,3,2,1,2,1,2,3,4,7,7,4,1,2,1,1,2,1,2,1,1,3,2,2,1,1,1,9,4,2,4,1,20802,0,0,0,0,0,0,0,0,0,10,10,1,1,0,0,0,0,0,0,0,0,9,6,7,2,2,4,8,1,1,10,5,9,10,10,2,10,1,1,2,4,2,2,1,3,2,1,4,2,1,1993,24,1,6,1,0,2,6,3,0,0,6,3,5,3,1,0,2,51,1,0,6
1,2,2,3,2,2,2,3,7,7,1,1,2,5,2,5,1,4,2,5,4,4,1,1,1,2,2,2,3,4,4,4,4,3,4,1,4,2,1,3,2,1,1,2,2,2,3,7,7,7,1,2,3,2,2,3,2,2,2,4,3,3,1,1,1,2,4,3,4,1,20801,0,0,0,0,0,0,0,0,0,10,9,1,1,0,0,0,0,0,0,0,0,2,6,5,1,6,1,1,1,1,10,4,10,10,3,5,5,1,1,3,3,2,2,2,2,1,3,4,2,1,1959,58,1,1,1,2,2,6,3,6,3,2,1,6,3,1,1,2,21,1,0,9
1,1,1,4,2,3,2,2,7,7,1,1,2,5,3,3,2,3,3,4,3,4,1,1,1,2,2,2,3,3,4,3,4,1,4,1,4,2,1,3,3,1,2,3,2,3,4,5,5,3,1,2,3,2,1,2,2,2,2,2,2,3,1,1,2,8,4,2,4,1,20801,0,0,0,0,0,0,0,0,0,10,8,1,1,0,0,0,0,0,0,0,0,2,4,6,1,5,1,1,1,1,10,2,9,10,8,2,5,1,1,2,3,2,2,2,1,1,2,3,3,2,1957,60,1,5,1,0,1,5,3,0,0,1,1,1,1,1,0,1,41,3,0,7
1,3,2,2,3,3,2,3,7,6,2,2,3,3,1,1,3,5,5,2,1,1,1,1,1,2,0,3,3,3,4,3,3,1,2,1,4,2,3,1,1,1,3,3,3,8,9,5,1,3,3,3,3,3,1,2,3,4,4,1,2,2,3,2,3,9,4,4,4,1,20805,0,0,0,0,0,0,0,0,0,10,10,1,1,0,0,0,0,0,0,0,0,2,4,5,1,4,1,2,2,1,10,6,10,10,7,7,5,1,1,2,1,3,3,2,1,1,1,3,3,2,1939,78,1,1,1,2,2,6,3,6,3,1,1,1,1,4,4,1,23,1,71,5
1,1,1,2,4,3,2,1,8,7,1,3,2,5,3,3,2,3,4,1,1,2,1,1,1,2,2,2,2,4,4,4,4,1,3,1,3,1,3,1,2,1,2,1,2,5,7,6,5,8,2,2,3,2,1,2,2,3,3,2,3,3,4,1,2,8,4,1,4,1,20802,0,0,0,0,0,0,0,0,0,10,9,1,1,0,0,0,0,0,0,0,0,2,6,6,1,6,1,1,1,1,10,5,10,10,2,6,1,1,1,2,4,1,1,2,1,1,1,3,3,2,1951,66,1,1,1,2,2,6,3,3,2,3,2,1,1,4,4,1,13,7,83,3
1,2,2,2,4,4,3,2,7,7,1,1,2,5,3,3,3,4,2,4,4,4,1,2,1,2,2,2,3,4,3,4,4,3,4,2,4,3,2,1,1,1,1,1,1,2,2,8,8,7,3,3,3,2,2,3,2,3,3,3,2,3,1,2,2,5,4,3,4,1,20809,0,0,0,0,0,0,0,0,0,10,7,1,1,0,0,0,0,0,0,0,0,0,8,7,2,1,1,3,1,1,8,2,8,4,8,2,3,1,1,2,3,3,3,3,2,2,2,3,2,1,1954,63,1,1,1,2,2,6,3,6,3,6,3,7,3,4,4,1,13,1,23,6
1,2,2,3,1,4,2,3,7,10,1,1,2,5,2,4,1,5,3,3,1,1,1,2,1,3,2,2,2,3,4,4,2,1,3,4,1,2,1,1,3,3,3,3,3,7,10,2,3,1,1,2,3,3,2,3,2,3,3,2,4,3,4,1,1,8,3,4,4,1,20807,0,0,0,0,0,0,0,0,0,10,10,1,1,0,0,0,0,0,0,0,0,2,6,7,1,2,1,1,1,1,10,5,10,10,9,1,5,1,2,1,3,2,4,3,3,1,2,4,3,1,1964,53,1,1,1,3,4,6,3,5,3,2,1,3,2,3,3,0,24,8,52,10
1,1,2,3,2,4,2,1,9,8,1,1,2,5,2,5,2,3,4,2,2,2,1,1,1,1,1,2,4,3,4,4,4,3,1,1,3,1,3,3,3,1,2,2,1,3,5,7,6,6,3,2,3,2,1,3,2,2,2,2,3,3,3,1,1,8,3,4,3,1,20801,0,0,0,0,0,0,0,0,0,10,9,2,1,0,0,0,0,0,0,0,0,2,7,7,1,3,3,2,2,1,10,2,9,10,7,4,3,2,2,2,3,2,3,1,2,1,2,3,4,2,1979,38,1,3,1,2,3,6,3,0,0,3,2,5,3,1,0,1,22,2,0,7
1,1,2,2,1,2,2,0,5,10,0,0,3,3,1,1,4,3,3,0,0,0,0,0,0,0,0,0,1,3,3,2,3,0,0,0,0,0,0,1,3,2,3,3,3,0,0,0,0,0,2,2,3,3,1,2,2,3,3,3,0,3,3,0,1,8,2,3,4,1,20807,0,0,0,0,0,0,0,0,0,10,10,1,1,0,0,0,0,0,0,0,0,2,7,7,1,5,1,1,1,1,1,1,5,5,5,1,1,1,1,1,0,2,2,1,1,1,2,4,4,2,1937,81,1,1,1,3,0,0,0,0,0,0,0,0,0,5,8,0,0,10,61,0
1,2,2,3,1,4,3,3,5,6,1,0,3,3,3,3,0,3,5,3,2,2,1,2,0,3,2,2,3,3,3,3,3,0,0,0,0,0,3,1,2,2,0,2,0,6,5,5,4,4,2,2,3,2,2,3,3,0,0,3,3,3,3,3,0,7,2,2,4,2,0,0,0,0,0,0,0,0,0,0,9,7,1,2,0,0,0,0,0,0,0,0,2,7,6,2,6,1,2,1,1,8,2,3,5,8,9,2,8,9,2,3,2,3,2,2,1,2,2,2,2,1937,80,1,1,1,3,2,3,2,2,1,1,1,1,1,4,4,0,53,9,71,2
1,1,1,3,2,3,2,3,8,8,1,1,2,4,1,1,2,4,4,2,3,4,1,2,1,3,3,3,3,3,3,4,3,1,3,1,3,1,1,1,4,3,1,2,1,6,8,6,8,3,3,3,3,2,2,3,3,3,3,3,3,3,3,2,3,6,4,3,4,1,20811,0,0,0,0,0,0,0,0,0,10,8,2,2,0,0,0,0,0,0,0,0,2,8,7,2,1,8,1,1,1,9,9,9,10,9,1,10,5,2,2,2,2,2,1,1,1,1,3,3,1,1972,45,1,6,1,0,1,3,2,0,0,0,0,3,2,1,0,2,81,8,0,6
1,1,1,1,1,3,2,2,8,8,2,2,2,5,1,2,2,4,5,2,2,4,1,3,1,2,2,3,4,4,4,4,4,0,0,0,0,0,3,1,1,1,1,0,1,5,7,1,1,9,3,2,4,3,3,4,4,4,4,3,3,2,3,3,3,3,3,2,4,1,20807,0,0,0,0,0,0,0,0,0,10,8,1,1,0,0,0,0,0,0,0,0,2,4,6,1,5,1,1,1,2,9,1,9,10,10,10,9,1,3,1,1,1,1,1,1,1,1,4,4,2,1976,41,1,6,1,1,2,3,2,0,0,3,2,3,2,1,0,2,53,6,0,5
2,1,1,3,1,3,2,2,8,9,1,1,2,4,2,4,4,4,2,1,3,4,1,2,1,2,2,2,2,3,3,4,3,4,3,1,2,2,1,3,3,1,2,1,3,3,5,6,5,2,3,2,3,2,2,2,2,2,2,3,2,3,2,2,2,7,2,3,4,1,20810,0,0,0,0,0,0,0,0,0,10,9,1,1,0,0,0,0,0,0,0,0,2,6,7,2,1,1,3,1,1,10,5,10,10,10,3,10,1,1,2,4,2,2,1,2,2,1,3,3,1,1978,39,1,3,1,0,2,3,2,2,1,1,1,3,2,1,6,2,21,4,52,8
1,1,1,3,3,4,2,2,6,8,1,1,2,5,1,2,1,4,3,1,1,3,1,2,1,2,2,2,3,4,4,4,4,3,4,1,4,2,2,1,4,2,2,2,2,5,6,4,6,4,4,3,4,3,3,4,4,2,2,4,4,3,3,3,2,7,4,2,4,1,20811,0,0,0,0,0,0,0,0,0,10,9,1,1,0,0,0,0,0,0,0,0,2,8,7,3,1,1,3,1,1,10,2,10,10,10,5,9,2,3,2,3,3,2,2,2,1,2,3,3,2,1994,23,1,6,1,0,2,3,2,3,2,2,1,2,1,1,1,2,53,8,0,7
1,1,2,2,2,3,1,2,10,9,1,1,2,5,2,5,2,3,4,3,2,3,1,2,1,2,2,2,3,4,4,4,4,4,3,4,1,2,1,1,2,1,2,2,2,4,7,6,5,3,2,2,4,2,2,2,2,2,2,3,3,3,2,2,2,10,4,4,4,1,20804,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,2,6,6,1,3,2,1,2,1,10,4,10,10,10,10,3,1,1,2,5,2,2,2,1,2,2,3,4,1,1974,43,1,1,1,3,3,7,3,6,3,1,1,2,1,1,1,1,23,5,26,9
1,2,1,3,1,4,2,4,8,3,1,2,2,5,1,2,3,4,2,1,1,1,1,2,2,0,3,0,3,4,4,0,4,0,0,0,0,0,1,2,2,1,3,3,3,8,4,2,3,3,0,3,3,3,1,3,3,3,3,3,3,3,0,2,3,8,3,3,4,1,20807,0,0,0,0,0,0,0,0,0,10,10,1,1,0,0,0,0,0,0,0,0,2,7,7,1,2,1,1,2,1,9,5,9,10,8,2,10,1,3,1,2,2,2,2,2,1,2,4,3,2,1967,50,1,2,1,2,3,6,3,3,2,1,1,1,1,1,1,2,33,8,54,4
1,2,2,2,2,4,2,3,8,7,1,1,2,5,1,2,3,5,5,4,0,3,1,1,2,2,0,3,3,4,4,3,4,3,1,1,4,2,3,1,2,1,1,1,2,3,3,7,5,4,4,3,4,3,2,4,3,4,4,4,4,4,3,2,4,6,4,4,4,1,20804,0,0,0,0,0,0,0,0,0,10,6,1,1,0,0,0,0,0,0,0,0,0,8,7,2,1,1,1,1,1,10,1,10,10,3,9,10,1,1,2,1,3,4,3,3,2,3,4,4,2,1980,37,1,6,1,1,3,6,3,7,3,3,2,3,2,8,3,1,22,3,13,8
1,2,1,3,2,2,2,3,6,8,2,1,3,3,1,2,1,1,5,1,1,2,1,2,1,3,2,2,2,2,4,3,3,3,1,1,4,2,1,1,2,3,3,3,3,0,0,0,0,3,1,1,3,0,1,2,2,0,0,0,0,0,0,0,0,8,4,0,4,1,20807,0,0,0,0,0,0,0,0,0,10,8,1,1,0,0,0,0,0,0,0,0,2,6,4,1,7,1,1,1,1,10,7,10,5,8,1,1,1,6,1,3,2,3,1,1,1,1,2,2,2,1969,48,1,1,1,2,4,3,2,3,2,2,1,6,3,8,3,0,83,5,83,7
1,1,1,3,2,3,2,4,6,8,1,1,2,5,3,3,3,4,4,3,1,4,1,2,1,2,2,2,3,4,4,3,4,3,1,4,1,2,1,1,2,1,2,2,2,6,7,5,4,7,2,1,2,3,2,2,2,3,3,3,2,3,2,2,2,8,4,4,4,1,20802,0,0,0,0,0,0,0,0,0,10,9,1,1,0,0,0,0,0,0,0,0,2,4,5,1,5,2,3,3,1,10,3,7,10,8,3,7,1,1,1,3,2,3,1,1,1,3,4,4,2,1971,46,1,1,1,4,5,7,3,7,3,5,3,3,2,2,1,2,24,2,24,9
